edge_id,subject_id,predicate,object_id,chunk_id,source_file,page_num,judge_label,statement_confidence,evidence_excerpt,evidence_start_char,evidence_end_char
rel:6bb474258a04dbda,ent:9e55a200dee20b8d,INVOLVES,ent:70bfcea1287a7dd7,1.national-waste-and-resource-recovery-report-2024::c106::d40fae0ff55786fe,1.national-waste-and-resource-recovery-report-2024.pdf,,maybe,0.6,Activity is predominantly centred in donation via charitable and social enterprises. This includes unwanted business equipment,,
rel:fa06b84f9b5586ac,ent:9e55a200dee20b8d,INVOLVES,ent:545a4090402d77d9,1.national-waste-and-resource-recovery-report-2024::c106::d40fae0ff55786fe,1.national-waste-and-resource-recovery-report-2024.pdf,,maybe,0.6,"Activity is predominantly centred in donation via charitable and social enterprises. This includes unwanted business equipment, surplus pre-consumer stock",,
rel:f20411366e88eee3,ent:9e55a200dee20b8d,INVOLVES,ent:979d06da506108a3,1.national-waste-and-resource-recovery-report-2024::c106::d40fae0ff55786fe,1.national-waste-and-resource-recovery-report-2024.pdf,,maybe,0.6,"Activity is predominantly centred in donation via charitable and social enterprises. This includes unwanted business equipment, surplus pre-consumer stock and food, and unwanted post-consumer items.",,
rel:7604e24944b4e1cb,ent:8b7c9026ff4af7e6,REQUIRES,ent:40394bcd273bff24,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,It is based on three principles: design out waste and pollution; keep products and materials in use,,
rel:65d37ca1bd18b7ca,ent:8b7c9026ff4af7e6,REQUIRES,ent:093abe0c518d2803,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,It is based on three principles: design out waste and pollution; keep products and materials in use (ideally at their highest and best value),,
rel:946429cc8f0f7c30,ent:8b7c9026ff4af7e6,BARRIERS,ent:6f0acaab46aaf27f,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"It entails gradually decoupling economic activity from the consumption of finite resources, and designing waste and pollution out of the system",,
rel:70609e223c87ec24,ent:8b7c9026ff4af7e6,ENABLES,ent:434579614c0475f6,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"Underpinned by a transition to renewable energy sources, the circular model builds economic, natural, and social capital",,
rel:e0bb2e3a452d9cd6,ent:03c32d377dcd5b11,ENABLES,ent:8b7c9026ff4af7e6,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"Underpinned by a transition to renewable energy sources, the circular model builds economic, natural, and social capital",,
rel:84a4cef2af1767bb,ent:f6c51b9c0883e8f5,INVOLVES,ent:a388efdcc58205f5,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,Reprocessing Processing of recovered materials to make raw materials for use in making new products or direct use,,
rel:24b1c19f800efced,ent:f6c51b9c0883e8f5,PRODUCES,ent:b4e45bfd70fec778,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,Processing of recovered materials to make raw materials for use in making new products or direct use,,
rel:0969a2b1743028d3,ent:465a8b9b73e442b1,INVOLVES,ent:a388efdcc58205f5,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,Processing of recovered materials to make raw materials for use in making new products or direct use. May also be called 'secondary processing',,
rel:d36071a1e3d079c2,ent:465a8b9b73e442b1,PRODUCES,ent:b4e45bfd70fec778,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,Processing of recovered materials to make raw materials for use in making new products or direct use. May also be called 'secondary processing',,
rel:907d2dc7cd62bd37,ent:02c95ca2caf91411,INVOLVES,ent:65d8d69427a8f75f,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"Activities through which wastes are collected, sorted, processed (including through composting), and/or converted into raw materials",,
rel:f768eee20611b6f9,ent:02c95ca2caf91411,INVOLVES,ent:6e767785b13e05b5,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"the quantity of waste allocated to the fate 'resource recovery' is the sum of the quantities allocated to waste reuse, recycling and energy recovery",,
rel:97c57574b0c8277b,ent:02c95ca2caf91411,INVOLVES,ent:5fc5c800520dd000,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"the quantity of waste allocated to the fate 'resource recovery' is the sum of the quantities allocated to waste reuse, recycling and energy recovery",,
rel:ad33fcd9a2dd77ca,ent:02c95ca2caf91411,INVOLVES,ent:c087c926646208cb,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"the quantity of waste allocated to the fate 'resource recovery' is the sum of the quantities allocated to waste reuse, recycling and energy recovery",,
rel:9e8976eaf28c87ec,ent:02c95ca2caf91411,PRODUCES,ent:b4e45bfd70fec778,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"Activities through which wastes are collected, sorted, processed (including through composting), and/or converted into raw materials for use in a production system",,
rel:bbe56b5b96c249ff,ent:65d8d69427a8f75f,PRODUCES,ent:b4e45bfd70fec778,19.Circular_Economy_Resource_Recovery_Report_2021-22::c5::010d297aa1b7cf17,19.Circular Economy Resource Recovery Report 2021-22.pdf,,maybe,0.6,"wastes are collected, sorted, processed (including through composting), and/or converted into raw materials for use in a production system",,
rel:c99ca9f7a01014e2,ent:83b51ad2e0084c60,PRODUCES,ent:39e12159405b93e3,21.Waste-Feasibility-Study_roadmap::c43::e28639f01a2db346,21.Waste-Feasibility-Study_roadmap.pdf,,maybe,0.6,"include aggregates for use in road base, and as a sand replacement in sand blasters and pool water filters",0.0,106.0
rel:abc3be8d6cc86bd5,ent:0fd7487ab8507d9e,PRODUCES,ent:d4ad115631e63f26,21.Waste-Feasibility-Study_roadmap::c43::e28639f01a2db346,21.Waste-Feasibility-Study_roadmap.pdf,,maybe,0.6,The recent upgrade to the Hume MRF allows the facility to produce glass fines for use in construction,108.0,209.0
rel:d3856121c7cb16ed,ent:9053e230f19ee544,PRODUCES,ent:d4ad115631e63f26,21.Waste-Feasibility-Study_roadmap::c43::e28639f01a2db346,21.Waste-Feasibility-Study_roadmap.pdf,,maybe,0.6,"roughly 6,500 tonnes of glass available in the waste stream for processing into glass fines",220.0,311.0
