source_file,title,gov_tier,doc_type,jurisdiction,year,issuer,chunk_count,edge_count,tier_label
71.The Reuse Playbook - Circular Buildings Toolkit.pdf,The Reuse Playbook: Circular Buildings Toolkit,Industry-NGO,Guidance,International,2023,"Alliance for Sustainable Building Products (ASBP), UK",49,566,Non-Government (Industry / NGO)
41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,Circular Economy Guidance for the Irish Construction Sector,Industry-NGO,Guidance,International,2023,"Construction Industry Federation (CIF), Ireland",30,265,Non-Government (Industry / NGO)
"62.Integrating the circular economy into construction waste management in NSW, Australia.pdf","Integrating the Circular Economy into Construction Waste Management in NSW, Australia",Academic,Report,NSW,2023,University of New South Wales,25,166,Non-Government (Academic / Research)
27.Engineering-for-Australias-Circular-Economy-White-Paper-Download.pdf,Engineering for Australia's Circular Economy: A National Strategy,Industry-NGO,Framework,AU-National,2022,Engineers Australia,24,250,Non-Government (Industry / NGO)
38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,Building Materials in a Circular Economy (AHURI Final Report No. 402),Academic,Report,AU-National,2023,Australian Housing and Urban Research Institute (AHURI),22,211,Non-Government (Academic / Research)
61.Building materials in a circular economy.pdf,Building Materials in a Circular Economy,Academic,Report,International,2021,International research consortium,22,211,Non-Government (Academic / Research)
47.gbca-a-practical-guide-to-circular-procurement.pdf,A Practical Guide to Circular Procurement,Industry-NGO,Guidance,AU-National,2023,Green Building Council of Australia (GBCA),21,225,Non-Government (Industry / NGO)
87.The Circular Economy in the Australian Built Environment The State of Play and a Research Agenda.pdf,The Circular Economy in the Australian Built Environment: The State of Play and a Research Agenda,Academic,Report,AU-National,2022,RMIT University / University of Melbourne,19,156,Non-Government (Academic / Research)
52.Circular-Economy-Markets-Australia- ARUP.pdf,Circular Economy Markets Australia,Consultancy,Report,AU-National,2022,Arup,18,153,Non-Government (Consultancy / Commercial)
48.What-Works-3-For-circular-design-in-the-built-environment.pdf,What Works for Circular Design in the Built Environment,Industry-NGO,Guidance,International,2022,Ellen MacArthur Foundation,14,109,Non-Government (Industry / NGO)
31.Are Australian Construction and Demolition Waste Management Research Efforts Coherent with Policy Targets.pdf,Are Australian Construction and Demolition Waste Management Research Efforts Coherent with Policy Targets?,Academic,Report,AU-National,2021,Deakin University / University of Melbourne,12,94,Non-Government (Academic / Research)
92.Transformation towards a circular economy in the Australian construction and demolition waste management system.pdf,Transformation Towards a Circular Economy in the Australian Construction and Demolition Waste Management System,Academic,Report,AU-National,2022,University of Melbourne,10,99,Non-Government (Academic / Research)
